run_id,cwe,model_used,matched_requests,matched_cost_total,log_file
run_002,250,anthropic/claude-sonnet-4.6,1,0.354582,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/claude-sonnet-4.6/runs/run_002/logs/cwe_250__model_claude-sonnet-4.6__run_002.json
run_002,258,anthropic/claude-sonnet-4.6,2,1.745796,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/claude-sonnet-4.6/runs/run_002/logs/cwe_258__model_claude-sonnet-4.6__run_002.json
run_002,259,anthropic/claude-sonnet-4.6,1,0.589833,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/claude-sonnet-4.6/runs/run_002/logs/cwe_259__model_claude-sonnet-4.6__run_002.json
run_002,284,anthropic/claude-sonnet-4.6,150,1.199925,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/claude-sonnet-4.6/runs/run_002/logs/cwe_284__model_claude-sonnet-4.6__run_002.json
run_002,319,anthropic/claude-sonnet-4.6,231,2.142573,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/claude-sonnet-4.6/runs/run_002/logs/cwe_319__model_claude-sonnet-4.6__run_002.json
run_002,326,anthropic/claude-sonnet-4.6,377,4.239645,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/claude-sonnet-4.6/runs/run_002/logs/cwe_326__model_claude-sonnet-4.6__run_002.json
run_002,478,anthropic/claude-sonnet-4.6,13,9.177072,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/claude-sonnet-4.6/runs/run_002/logs/cwe_478__model_claude-sonnet-4.6__run_002.json
run_002,546,anthropic/claude-sonnet-4.6,5,2.044872,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/claude-sonnet-4.6/runs/run_002/logs/cwe_546__model_claude-sonnet-4.6__run_002.json
run_001,1327,openai/gpt-5.2-codex,4,1.149256,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_1327__model_gpt-5.2-codex__run_001.json
run_001,250,openai/gpt-5.2-codex,1,0.107941,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_250__model_gpt-5.2-codex__run_001.json
run_001,258,openai/gpt-5.2-codex,2,1.228214,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_258__model_gpt-5.2-codex__run_001.json
run_001,259,openai/gpt-5.2-codex,1,0.516387,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_259__model_gpt-5.2-codex__run_001.json
run_001,284,openai/gpt-5.2-codex,19,3.582232,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_284__model_gpt-5.2-codex__run_001.json
run_001,319,openai/gpt-5.2-codex,3,1.100050,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_319__model_gpt-5.2-codex__run_001.json
run_001,326,openai/gpt-5.2-codex,19,5.562764,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_326__model_gpt-5.2-codex__run_001.json
run_001,327,openai/gpt-5.2-codex,11,4.755336,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_327__model_gpt-5.2-codex__run_001.json
run_001,353,openai/gpt-5.2-codex,9,2.076564,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_353__model_gpt-5.2-codex__run_001.json
run_001,478,openai/gpt-5.2-codex,13,2.942982,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_478__model_gpt-5.2-codex__run_001.json
run_001,546,openai/gpt-5.2-codex,11,3.087985,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_546__model_gpt-5.2-codex__run_001.json
run_001,798,openai/gpt-5.2-codex,19,8.172436,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_001/logs/cwe_798__model_gpt-5.2-codex__run_001.json
run_002,284,openai/gpt-5.2-codex,19,5.400266,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_002/logs/cwe_284__model_gpt-5.2-codex__run_002.json
run_002,326,openai/gpt-5.2-codex,19,3.050296,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_002/logs/cwe_326__model_gpt-5.2-codex__run_002.json
run_003,284,openai/gpt-5.2-codex,4,1.296299,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_003/logs/cwe_284__model_gpt-5.2-codex__run_003.json
run_003,326,openai/gpt-5.2-codex,19,4.244802,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_003/logs/cwe_326__model_gpt-5.2-codex__run_003.json
run_003,798,openai/gpt-5.2-codex,19,7.023447,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_003/logs/cwe_798__model_gpt-5.2-codex__run_003.json
run_004,326,openai/gpt-5.2-codex,19,5.542611,/home/daniel/InfraGov/cwe2rego/generated_rego/extension_examples_test/gpt-5.2-codex/runs/run_004/logs/cwe_326__model_gpt-5.2-codex__run_004.json
