generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774280347-8LjwfUyyhnFSKYyuaXn3,2026-03-23 15:39:07.330,0.001742,,,0,0,1474,5550,5140,0,xiaomi/mimo-v2-flash-20251210,Chutes,standard,false,true,,stop,stop,693472,3996,,InfraGov - k8s Proofs - Martim
gen-1774280335-OJsqbGlCbKeFj579MMi1,2026-03-23 15:38:55.390,0.037824,,,0,0,5544,152,0,0,anthropic/claude-3.5-sonnet,Amazon Bedrock,standard,false,true,,stop,stop,10061,3716,,InfraGov - k8s Proofs - Martim
gen-1774280315-qL0aTf18LJakdgJ54Xv1,2026-03-23 15:38:35.227,0.000549,,,,0,2746,1031,960,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,17348,17252,,InfraGov - k8s Proofs - Martim
gen-1774280302-vmxBpH8MuIeFt7af7pVp,2026-03-23 15:38:22.124,0.000594,,,0,0,2838,1037,0,0,xiaomi/mimo-v2-flash-20251210,AtlasCloud,standard,false,true,,stop,stop,10297,676,,InfraGov - k8s Proofs - Martim
gen-1774280276-AOdTlycRdA7dpQux1TvY,2026-03-23 15:37:56.570,0.001447,,0,0,0,1471,4336,3923,5,xiaomi/mimo-v2-flash-20251210,Xiaomi,standard,false,true,,stop,stop,24744,549,,InfraGov - k8s Proofs - Martim
gen-1774280262-LHhsXHHPCVDqP3tkLkLW,2026-03-23 15:37:42.819,0.038586,,,0,0,5756,135,0,0,anthropic/claude-3.5-sonnet,Amazon Bedrock,standard,false,true,,stop,stop,7730,3971,,InfraGov - k8s Proofs - Martim
gen-1774280245-dk7cTejDPlun2iRkIBbK,2026-03-23 15:37:25.973,0.000645,,,,0,2948,1244,1152,0,openai/gpt-5-nano-2025-08-07,OpenAI,standard,false,true,,completed,stop,11412,11317,,InfraGov - k8s Proofs - Martim
gen-1774280229-dQjC7u2yd3ZgGjDDEls3,2026-03-23 15:37:09.680,0.000587,,,0,0,1737,1378,0,0,xiaomi/mimo-v2-flash-20251210,AtlasCloud,standard,false,true,,stop,stop,13361,642,,InfraGov - k8s Proofs - Martim
gen-1774279832-zrHP1VnRqCvgfcOTtxBD,2026-03-23 15:30:32.789,0,,,0,1.707258,241406,65536,14736,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,length,length,783864,6011,,Infragov - IG - DC
gen-1774279015-NL84TxpPJMQWqel4hxgt,2026-03-23 15:16:55.722,1.69044,,,0,0,252185,62259,15734,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,804216,5832,,Infragov - IG - DC
gen-1774278412-3BeqT0GEN1iuRxpKqhiL,2026-03-23 15:06:52.431,0.007263,,,0,0,1514,24578,24443,0,xiaomi/mimo-v2-flash-20251210,Chutes,standard,false,true,,,,1801520,1804,,InfraGov - k8s Proofs - Martim
