generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1774279832-zrHP1VnRqCvgfcOTtxBD,2026-03-23 15:30:32.789,0,,,0,1.707258,241406,65536,14736,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,length,length,783864,6011,,Infragov - IG - DC
gen-1774279015-NL84TxpPJMQWqel4hxgt,2026-03-23 15:16:55.722,1.69044,,,0,0,252185,62259,15734,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,804216,5832,,Infragov - IG - DC
gen-1774278356-RmYH31mNN7HFtDCyiSvN,2026-03-23 15:05:56.785,1.110228,,,0,0,128976,48220,14575,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,640961,2888,,Infragov - IG - DC
gen-1774277628-tQmnKeBmzAAF4rAOwK5a,2026-03-23 14:53:48.441,1.477554,,,0,0,240608,50382,8195,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,714566,6489,,Infragov - IG - DC
gen-1774277168-RHz4LSffLzx9RNOc9aP2,2026-03-23 14:46:08.577,1.171206,,,0,0,204192,37242,8188,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,445832,4700,,Infragov - IG - DC
gen-1774276349-9iOMLALvUGgYGh7q8smB,2026-03-23 14:32:29.022,1.157571,,,0,0,81732,60825,9156,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,801343,2275,,Infragov - IG - DC
gen-1774275740-6ULijJymT9litDzt1WSK,2026-03-23 14:22:20.128,0,,,0,1.430502,240629,47241,11388,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,597876,5637,,Infragov - IG - DC
gen-1774275434-oi0k5zVjiObpoBCN63qJ,2026-03-23 14:17:14.396,0.961476,,,0,0,204592,23180,4363,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,293709,5820,,Infragov - IG - DC
gen-1774275106-vFhkCdBIIuX0s2RkuTyr,2026-03-23 14:11:46.721,0.613302,,,0,0,75814,25724,3290,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,308911,2293,,Infragov - IG - DC
gen-1774274717-XVP87e8Lx3DyqcwpgUSd,2026-03-23 14:05:17.453,0.669729,,,0,0,64448,31759,5784,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,377896,2048,,Infragov - IG - DC
gen-1774274513-uwzOptwXrqBGYhyg2ApV,2026-03-23 14:01:53.692,0,,,0,0.892116,208912,17692,2847,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,193038,5277,,Infragov - IG - DC
gen-1774273758-t1T3aGsHJDVUPwLtxvRU,2026-03-23 13:49:18.210,0,,,0,1.610619,249453,57484,14670,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,744623,5515,,Infragov - IG - DC
gen-1774272931-a2JiRIPjb8d45YtSkyrv,2026-03-23 13:35:31.366,0,,,0,1.279719,111998,62915,8756,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,810122,3029,,Infragov - IG - DC
gen-1774272323-G5nbk3x8jQLjNfMIPUWV,2026-03-23 13:25:23.756,0,,,0,1.439457,256034,44757,10953,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,596822,6132,,Infragov - IG - DC
gen-1774271914-6lRClMHHZzaE2gRQGT2Z,2026-03-23 13:18:34.652,0,,,0,1.079991,200357,31928,6501,0,anthropic/claude-4.6-sonnet-20260217,Amazon Bedrock,standard,false,true,,stop,stop,396749,4795,,Infragov - IG - DC
